"","COMP","SEASON","ROUND","LEG","HOMETEAM","AWAYTEAM","RESULT","DATE"
"479","UCL","2000-2001","halbfinale","2nd (2nd leg)","Valencia CF","Leeds United","3:0 (1:0)","2nd (2nd leg): 08/05/2001 19:45"
"480","UCL","2001-2002","halbfinale","1st(1st leg)","FC Barcelona","Real Madrid","0:2 (0:0)","1st(1st leg): 23/04/2002 19:45"
"481","UCL","2001-2002","halbfinale","2nd (2nd leg)","Real Madrid","FC Barcelona","1:1 (1:0)","2nd (2nd leg): 01/05/2002 19:45"
"482","UCL","2001-2002","halbfinale","1st(1st leg)","Manchester United","Bayer Leverkusen","2:2 (1:0)","1st(1st leg): 24/04/2002 19:45"
"483","UCL","2001-2002","halbfinale","2nd (2nd leg)","Bayer Leverkusen","Manchester United","1:1 (1:1)","2nd (2nd leg): 30/04/2002 19:45"
"484","UCL","2002-2003","halbfinale","1st(1st leg)","Real Madrid","Juventus","2:1 (1:1)","1st(1st leg): 06/05/2003 19:45"
"485","UCL","2002-2003","halbfinale","2nd (2nd leg)","Juventus","Real Madrid","3:1 (2:0)","2nd (2nd leg): 14/05/2003 19:45"
"486","UCL","2002-2003","halbfinale","1st(1st leg)","AC Milan","Inter","0:0 (0:0)","1st(1st leg): 07/05/2003 19:45"
"487","UCL","2002-2003","halbfinale","2nd (2nd leg)","Inter","AC Milan","1:1 (0:1)","2nd (2nd leg): 13/05/2003 19:45"
"488","UCL","2003-2004","halbfinale","1st(1st leg)","AS Monaco","Chelsea FC","3:1 (1:1)","1st(1st leg): 20/04/2004 19:45"
"489","UCL","2003-2004","halbfinale","2nd (2nd leg)","Chelsea FC","AS Monaco","2:2 (2:1)","2nd (2nd leg): 05/05/2004 19:45"
"490","UCL","2003-2004","halbfinale","1st(1st leg)","FC Porto","Deportivo La Coruña","0:0 (0:0)","1st(1st leg): 21/04/2004 19:45"
"491","UCL","2003-2004","halbfinale","2nd (2nd leg)","Deportivo La Coruña","FC Porto","0:1 (0:0)","2nd (2nd leg): 04/05/2004 19:45"
"492","UCL","2004-2005","halbfinale","1st(1st leg)","AC Milan","PSV Eindhoven","2:0 (1:0)","1st(1st leg): 26/04/2005 19:45"
"493","UCL","2004-2005","halbfinale","2nd (2nd leg)","PSV Eindhoven","AC Milan","3:1 (1:0)","2nd (2nd leg): 04/05/2005 19:45"
"494","UCL","2004-2005","halbfinale","1st(1st leg)","Chelsea FC","Liverpool FC","0:0 (0:0)","1st(1st leg): 27/04/2005 19:45"
"495","UCL","2004-2005","halbfinale","2nd (2nd leg)","Liverpool FC","Chelsea FC","1:0 (1:0)","2nd (2nd leg): 03/05/2005 19:45"
"496","UCL","2005-2006","halbfinale","1st(1st leg)","AC Milan","FC Barcelona","0:1 (0:0)","1st(1st leg): 18/04/2006 19:45"
"497","UCL","2005-2006","halbfinale","2nd (2nd leg)","FC Barcelona","AC Milan","0:0 (0:0)","2nd (2nd leg): 26/04/2006 19:45"
"498","UCL","2005-2006","halbfinale","1st(1st leg)","Arsenal FC","Villarreal CF","1:0 (1:0)","1st(1st leg): 19/04/2006 19:45"
"499","UCL","2005-2006","halbfinale","2nd (2nd leg)","Villarreal CF","Arsenal FC","0:0 (0:0)","2nd (2nd leg): 25/04/2006 19:45"
"500","UCL","2006-2007","halbfinale","1st(1st leg)","Manchester United","AC Milan","3:2 (1:2)","1st(1st leg): 24/04/2007 19:45"
"501","UCL","2006-2007","halbfinale","2nd (2nd leg)","AC Milan","Manchester United","3:0 (2:0)","2nd (2nd leg): 02/05/2007 19:45"
"502","UCL","2006-2007","halbfinale","1st(1st leg)","Chelsea FC","Liverpool FC","1:0 (1:0)","1st(1st leg): 25/04/2007 19:45"
"503","UCL","2006-2007","halbfinale","2nd (2nd leg)","Liverpool FC","Chelsea FC","4:1 (1:0, 1:0, 1:0) pso","2nd (2nd leg): 01/05/2007 19:45"
"504","UCL","1994-1995","endspiel","FINAL","AFC Ajax","AC Milan","1:0 (0:0)","24/05/1995: 19:30"
"505","UCL","1995-1996","endspiel","FINAL","Juventus","AFC Ajax","4:2 (1:1, 1:1, 1:1) pso","22/05/1996: 19:30"
"506","UCL","1996-1997","endspiel","FINAL","Borussia Dortmund","Juventus","3:1 (2:0)","28/05/1997: 19:30"
"507","UCL","1997-1998","endspiel","FINAL","Real Madrid","Juventus","1:0 (0:0)","20/05/1998: 19:45"
"508","UCL","1998-1999","endspiel","FINAL","Manchester United","Bayern München","2:1 (0:1)","26/05/1999: 19:45"
"509","UCL","1999-2000","endspiel","FINAL","Real Madrid","Valencia CF","3:0 (1:0)","24/05/2000: 19:45"
"510","UCL","2000-2001","endspiel","FINAL","Bayern München","Valencia CF","5:4 (0:1, 1:1, 1:1) pso","23/05/2001: 19:45"
"511","UCL","2001-2002","endspiel","FINAL","Bayer Leverkusen","Real Madrid","1:2 (1:2)","15/05/2002: 19:45"
"512","UCL","2002-2003","endspiel","FINAL","Juventus","AC Milan","2:3 (0:0, 0:0, 0:0) pso","28/05/2003: 19:45"
"513","UCL","2003-2004","endspiel","FINAL","AS Monaco","FC Porto","0:3 (0:1)","26/05/2004: 19:45"
"514","UCL","2004-2005","endspiel","FINAL","Liverpool FC","AC Milan","3:2 (0:3, 3:3, 3:3) pso","25/05/2005: 19:45"
"515","UCL","2005-2006","endspiel","FINAL","FC Barcelona","Arsenal FC","2:1 (0:1)","17/05/2006: 19:45"
"516","UCL","2006-2007","endspiel","FINAL","AC Milan","Liverpool FC","2:1 (1:0)","23/05/2007: 19:45"
