"","COMP","SEASON","ROUND","TEAM1","TEAM2","WINNER","L1D","L2D","TYPE","LEG_ID","T1G","T2G","G1_ID","G2_ID"
"104","UCL","2003-2004","R4","FC Porto","Deportivo La Coruña","FC Porto",2004-04-21,2004-05-04,"G","G58",1,0,215,216
"105","UCL","2004-2005","R4","Chelsea FC","Liverpool FC","Liverpool FC",2005-04-27,2005-05-03,"G","G59",0,1,217,218
"106","UCL","2005-2006","R4","AC Milan","FC Barcelona","FC Barcelona",2006-04-18,2006-04-26,"G","G60",0,1,219,220
"107","UCL","2005-2006","R4","Arsenal FC","Villarreal CF","Arsenal FC",2006-04-19,2006-04-25,"G","G61",1,0,221,222
"108","UCL","2006-2007","R4","Manchester United","AC Milan","AC Milan",2007-04-24,2007-05-02,"G","G62",3,5,223,224
"109","UCL","2007-2008","R16","Liverpool FC","Inter","Liverpool FC",2008-02-19,2008-03-11,"G","G63",3,0,225,226
"110","UCL","2007-2008","R16","AS Roma","Real Madrid","AS Roma",2008-02-19,2008-03-05,"G","G64",4,2,227,228
"111","UCL","2007-2008","R16","Olympiakos Piräus","Chelsea FC","Chelsea FC",2008-02-19,2008-03-05,"G","G65",0,3,229,230
"112","UCL","2007-2008","R16","Celtic FC","FC Barcelona","FC Barcelona",2008-02-20,2008-03-04,"G","G66",2,4,231,232
"113","UCL","2007-2008","R16","Olympique Lyon","Manchester United","Manchester United",2008-02-20,2008-03-04,"G","G67",1,2,233,234
"114","UCL","2007-2008","R16","Arsenal FC","AC Milan","Arsenal FC",2008-02-20,2008-03-04,"G","G68",2,0,235,236
"115","UCL","2008-2009","R16","Olympique Lyon","FC Barcelona","FC Barcelona",2009-02-24,2009-03-11,"G","G69",3,6,237,238
"116","UCL","2008-2009","R16","Inter","Manchester United","Manchester United",2009-02-24,2009-03-11,"G","G70",0,2,239,240
"117","UCL","2008-2009","R16","Chelsea FC","Juventus","Chelsea FC",2009-02-25,2009-03-10,"G","G71",3,2,241,242
"118","UCL","2008-2009","R16","Villarreal CF","Panathinaikos","Villarreal CF",2009-02-25,2009-03-10,"G","G72",3,2,243,244
"119","UCL","2008-2009","R16","Sporting CP","Bayern München","Bayern München",2009-02-25,2009-03-10,"G","G73",1,12,245,246
"120","UCL","2008-2009","R16","Real Madrid","Liverpool FC","Liverpool FC",2009-02-25,2009-03-10,"G","G74",0,5,247,248
"121","UCL","2009-2010","R16","Olympique Lyon","Real Madrid","Olympique Lyon",2010-02-16,2010-03-10,"G","G75",2,1,249,250
"122","UCL","2009-2010","R16","AC Milan","Manchester United","Manchester United",2010-02-16,2010-03-10,"G","G76",2,7,251,252
"123","UCL","2009-2010","R16","FC Porto","Arsenal FC","Arsenal FC",2010-02-17,2010-03-09,"G","G77",2,6,253,254
"124","UCL","2009-2010","R16","VfB Stuttgart","FC Barcelona","FC Barcelona",2010-02-23,2010-03-17,"G","G78",1,5,255,256
"125","UCL","2009-2010","R16","Olympiakos Piräus","Girondins Bordeaux","Girondins Bordeaux",2010-02-23,2010-03-17,"G","G79",1,3,257,258
"126","UCL","2009-2010","R16","CSKA Moskva","Sevilla FC","CSKA Moskva",2010-02-24,2010-03-16,"G","G80",3,2,259,260
"127","UCL","2009-2010","R16","Inter","Chelsea FC","Inter",2010-02-24,2010-03-16,"G","G81",3,1,261,262
"128","UCL","2010-2011","R16","AC Milan","Tottenham Hotspur","Tottenham Hotspur",2011-02-15,2011-03-09,"G","G82",0,1,263,264
"129","UCL","2010-2011","R16","Valencia CF","FC Schalke 04","FC Schalke 04",2011-02-15,2011-03-09,"G","G83",2,4,265,266
"130","UCL","2010-2011","R16","AS Roma","Shakhtar Donetsk","Shakhtar Donetsk",2011-02-16,2011-03-08,"G","G84",2,6,267,268
"131","UCL","2010-2011","R16","Arsenal FC","FC Barcelona","FC Barcelona",2011-02-16,2011-03-08,"G","G85",3,4,269,270
"132","UCL","2010-2011","R16","Olympique Lyon","Real Madrid","Real Madrid",2011-02-22,2011-03-16,"G","G86",1,4,271,272
"133","UCL","2010-2011","R16","FC København","Chelsea FC","Chelsea FC",2011-02-22,2011-03-16,"G","G87",0,2,273,274
"134","UCL","2010-2011","R16","Olympique Marseille","Manchester United","Manchester United",2011-02-23,2011-03-15,"G","G88",1,2,275,276
"135","UCL","2011-2012","R16","Bayer Leverkusen","FC Barcelona","FC Barcelona",2012-02-14,2012-03-07,"G","G89",2,10,277,278
"136","UCL","2011-2012","R16","Zenit St. Petersburg","SL Benfica","SL Benfica",2012-02-15,2012-03-06,"G","G90",3,4,279,280
"137","UCL","2011-2012","R16","AC Milan","Arsenal FC","AC Milan",2012-02-15,2012-03-06,"G","G91",4,3,281,282
"138","UCL","2011-2012","R16","CSKA Moskva","Real Madrid","Real Madrid",2012-02-21,2012-03-14,"G","G92",2,5,283,284
"139","UCL","2011-2012","R16","FC Basel","Bayern München","Bayern München",2012-02-22,2012-03-13,"G","G93",1,7,285,286
"140","UCL","2012-2013","R16","Celtic FC","Juventus","Juventus",2013-02-12,2013-03-06,"G","G94",0,5,287,288
"141","UCL","2012-2013","R16","Valencia CF","Paris Saint-Germain","Paris Saint-Germain",2013-02-12,2013-03-06,"G","G95",2,3,289,290
"142","UCL","2012-2013","R16","Shakhtar Donetsk","Borussia Dortmund","Borussia Dortmund",2013-02-13,2013-03-05,"G","G96",2,5,291,292
"143","UCL","2012-2013","R16","Real Madrid","Manchester United","Real Madrid",2013-02-13,2013-03-05,"G","G97",3,2,293,294
"144","UCL","2012-2013","R16","FC Porto","Málaga CF","Málaga CF",2013-02-19,2013-03-13,"G","G98",1,2,295,296
"145","UCL","2012-2013","R16","Galatasaray","FC Schalke 04","Galatasaray",2013-02-20,2013-03-12,"G","G99",4,3,297,298
"146","UCL","2012-2013","R16","AC Milan","FC Barcelona","FC Barcelona",2013-02-20,2013-03-12,"G","G100",2,4,299,300
"147","UCL","2013-2014","R16","Manchester City","FC Barcelona","FC Barcelona",2014-02-18,2014-03-12,"G","G101",1,4,301,302
"148","UCL","2013-2014","R16","Bayer Leverkusen","Paris Saint-Germain","Paris Saint-Germain",2014-02-18,2014-03-12,"G","G102",1,6,303,304
"149","UCL","2013-2014","R16","AC Milan","Atlético Madrid","Atlético Madrid",2014-02-19,2014-03-11,"G","G103",1,5,305,306
"150","UCL","2013-2014","R16","Arsenal FC","Bayern München","Bayern München",2014-02-19,2014-03-11,"G","G104",1,3,307,308
"151","UCL","2013-2014","R16","Zenit St. Petersburg","Borussia Dortmund","Borussia Dortmund",2014-02-25,2014-03-19,"G","G105",4,5,309,310
"152","UCL","2013-2014","R16","Olympiakos Piräus","Manchester United","Manchester United",2014-02-25,2014-03-19,"G","G106",2,3,311,312
"153","UCL","2013-2014","R16","Galatasaray","Chelsea FC","Chelsea FC",2014-02-26,2014-03-18,"G","G107",1,3,313,314
"154","UCL","2013-2014","R16","FC Schalke 04","Real Madrid","Real Madrid",2014-02-26,2014-03-18,"G","G108",2,9,315,316
"155","UCL","2014-2015","R16","Shakhtar Donetsk","Bayern München","Bayern München",2015-02-17,2015-03-11,"G","G109",0,7,317,318
"156","UCL","2014-2015","R16","FC Schalke 04","Real Madrid","Real Madrid",2015-02-18,2015-03-10,"G","G110",4,5,319,320
"157","UCL","2014-2015","R16","FC Basel","FC Porto","FC Porto",2015-02-18,2015-03-10,"G","G111",1,5,321,322
"158","UCL","2014-2015","R16","Manchester City","FC Barcelona","FC Barcelona",2015-02-24,2015-03-18,"G","G112",1,3,323,324
"159","UCL","2014-2015","R16","Juventus","Borussia Dortmund","Juventus",2015-02-24,2015-03-18,"G","G113",5,1,325,326
"160","UCL","2015-2016","R16","Paris Saint-Germain","Chelsea FC","Paris Saint-Germain",2016-02-16,2016-03-09,"G","G114",4,2,327,328
"161","UCL","2015-2016","R16","SL Benfica","Zenit St. Petersburg","SL Benfica",2016-02-16,2016-03-09,"G","G115",3,1,329,330
"162","UCL","2015-2016","R16","KAA Gent","VfL Wolfsburg","VfL Wolfsburg",2016-02-17,2016-03-08,"G","G116",2,4,331,332
"163","UCL","2015-2016","R16","AS Roma","Real Madrid","Real Madrid",2016-02-17,2016-03-08,"G","G117",0,4,333,334
"164","UCL","2015-2016","R16","Arsenal FC","FC Barcelona","FC Barcelona",2016-02-23,2016-03-16,"G","G118",1,5,335,336
"165","UCL","2015-2016","R16","Dinamo Kiev","Manchester City","Manchester City",2016-02-24,2016-03-15,"G","G119",1,3,337,338
"166","UCL","2016-2017","R16","SL Benfica","Borussia Dortmund","Borussia Dortmund",2017-02-14,2017-03-08,"G","G120",1,4,339,340
"167","UCL","2016-2017","R16","Paris Saint-Germain","FC Barcelona","FC Barcelona",2017-02-14,2017-03-08,"G","G121",5,6,341,342
"168","UCL","2016-2017","R16","Real Madrid","SSC Napoli","Real Madrid",2017-02-15,2017-03-07,"G","G122",6,2,343,344
"169","UCL","2016-2017","R16","Bayern München","Arsenal FC","Bayern München",2017-02-15,2017-03-07,"G","G123",10,2,345,346
"170","UCL","2016-2017","R16","Bayer Leverkusen","Atlético Madrid","Atlético Madrid",2017-02-21,2017-03-15,"G","G124",2,4,347,348
"171","UCL","2016-2017","R16","FC Porto","Juventus","Juventus",2017-02-22,2017-03-14,"G","G125",0,3,349,350
"172","UCL","2016-2017","R16","Sevilla FC","Leicester City","Leicester City",2017-02-22,2017-03-14,"G","G126",2,3,351,352
"173","UCL","2017-2018","R16","Juventus","Tottenham Hotspur","Juventus",2018-02-13,2018-03-07,"G","G127",4,3,353,354
"174","UCL","2017-2018","R16","FC Basel","Manchester City","Manchester City",2018-02-13,2018-03-07,"G","G128",2,5,355,356
"175","UCL","2017-2018","R16","FC Porto","Liverpool FC","Liverpool FC",2018-02-14,2018-03-06,"G","G129",0,5,357,358
"176","UCL","2017-2018","R16","Real Madrid","Paris Saint-Germain","Real Madrid",2018-02-14,2018-03-06,"G","G130",5,2,359,360
"177","UCL","2017-2018","R16","Chelsea FC","FC Barcelona","FC Barcelona",2018-02-20,2018-03-14,"G","G131",1,4,361,362
"178","UCL","2017-2018","R16","Bayern München","Beşiktaş","Bayern München",2018-02-20,2018-03-14,"G","G132",8,1,363,364
"179","UCL","2017-2018","R16","Sevilla FC","Manchester United","Sevilla FC",2018-02-21,2018-03-13,"G","G133",2,1,365,366
"180","UCL","2018-2019","R16","Tottenham Hotspur","Borussia Dortmund","Tottenham Hotspur",2019-02-13,2019-03-05,"G","G134",4,0,367,368
"181","UCL","2018-2019","R16","AFC Ajax","Real Madrid","AFC Ajax",2019-02-13,2019-03-05,"G","G135",5,3,369,370
"182","UCL","2018-2019","R16","Olympique Lyon","FC Barcelona","FC Barcelona",2019-02-19,2019-03-13,"G","G136",1,5,371,372
"183","UCL","2018-2019","R16","Liverpool FC","Bayern München","Liverpool FC",2019-02-19,2019-03-13,"G","G137",3,1,373,374
"184","UCL","2018-2019","R16","FC Schalke 04","Manchester City","Manchester City",2019-02-20,2019-03-12,"G","G138",2,10,375,376
"185","UCL","2018-2019","R16","Atlético Madrid","Juventus","Juventus",2019-02-20,2019-03-12,"G","G139",2,3,377,378
"186","UCL","2007-2008","R8","AS Roma","Manchester United","Manchester United",2008-04-01,2008-04-09,"G","G140",0,3,379,380
"187","UCL","2007-2008","R8","FC Schalke 04","FC Barcelona","FC Barcelona",2008-04-01,2008-04-09,"G","G141",0,2,381,382
"188","UCL","2007-2008","R8","Arsenal FC","Liverpool FC","Liverpool FC",2008-04-02,2008-04-08,"G","G142",3,5,383,384
"189","UCL","2007-2008","R8","Fenerbahçe","Chelsea FC","Chelsea FC",2008-04-02,2008-04-08,"G","G143",2,3,385,386
"190","UCL","2008-2009","R8","Villarreal CF","Arsenal FC","Arsenal FC",2009-04-07,2009-04-15,"G","G144",1,4,387,388
"191","UCL","2008-2009","R8","Manchester United","FC Porto","Manchester United",2009-04-07,2009-04-15,"G","G145",3,2,389,390
"192","UCL","2008-2009","R8","Liverpool FC","Chelsea FC","Chelsea FC",2009-04-08,2009-04-14,"G","G146",5,7,391,392
"193","UCL","2008-2009","R8","FC Barcelona","Bayern München","FC Barcelona",2009-04-08,2009-04-14,"G","G147",5,1,393,394
"194","UCL","2009-2010","R8","Olympique Lyon","Girondins Bordeaux","Olympique Lyon",2010-03-30,2010-04-07,"G","G148",3,2,395,396
"195","UCL","2009-2010","R8","Arsenal FC","FC Barcelona","FC Barcelona",2010-03-31,2010-04-06,"G","G149",3,6,397,398
"196","UCL","2009-2010","R8","Inter","CSKA Moskva","Inter",2010-03-31,2010-04-06,"G","G150",2,0,399,400
"197","UCL","2010-2011","R8","Real Madrid","Tottenham Hotspur","Real Madrid",2011-04-05,2011-04-13,"G","G151",5,0,401,402
"198","UCL","2010-2011","R8","Inter","FC Schalke 04","FC Schalke 04",2011-04-05,2011-04-13,"G","G152",3,7,403,404
"199","UCL","2010-2011","R8","Chelsea FC","Manchester United","Manchester United",2011-04-06,2011-04-12,"G","G153",1,3,405,406
"200","UCL","2010-2011","R8","FC Barcelona","Shakhtar Donetsk","FC Barcelona",2011-04-06,2011-04-12,"G","G154",6,1,407,408
"201","UCL","2011-2012","R8","APOEL Nikosia","Real Madrid","Real Madrid",2012-03-27,2012-04-04,"G","G155",2,8,409,410
"202","UCL","2011-2012","R8","SL Benfica","Chelsea FC","Chelsea FC",2012-03-27,2012-04-04,"G","G156",1,3,411,412
"203","UCL","2011-2012","R8","Olympique Marseille","Bayern München","Bayern München",2012-03-28,2012-04-03,"G","G157",0,4,413,414
